,Abundance,Species,chao,chao.se,jack1,jack1.se,jack2,boot,boot.se,n
A. mearnsii Overall,17856,336,506.2675737,37.3278073,477.1428571,44.54761268,557.5824176,398.3619354,21.99828036,14
A. mearnsii MP,5573,231,419.277551,48.42094544,337.2857143,46.45998937,405.0238095,276.8498451,21.12862264,7
A. mearnsii KZN,12283,227,341.3829787,29.32611854,323,42.98837052,375.0238095,269.9586968,20.96060879,7
A. mearnsii Spring,5739,172,299.1815385,39.41715726,248.6153846,26.35757753,299.4551282,204.669613,13.04160109,13
A. mearnsii Summer,3864,221,410,47.31725982,338,37.35830372,415.1428571,270.7204602,17.51786806,14
A. mearnsii Winter,8253,159,271.9885714,35.7537876,231.4285714,22.64882751,278.5054945,189.9859124,10.28925325,14
A. mearnsii Coleoptera,5146,226,367.1539116,36.34328641,330.9285714,34.10914355,394.5549451,271.7707964,16.79833207,14
A. mearnsii Hemiptera,4453,91,129.3367347,17.78263695,122.5714286,10.7119045,140.6373626,104.9898095,5.328382567,14
A. mearnsii Formicidae,8257,19,20.65816327,2.061687194,23.64285714,3.143668726,22.39010989,21.60132941,2.069361306,14
Adjacent Overall,3345,202,342.6341463,35.51087581,295,55.48648484,343.3333333,243.8710938,25.56523107,4
Adjacent MP,1549,140,188.0217391,14.01019109,187,47.13279113,187,163.5,23.87990787,2
Adjacent KZN,1796,119,185.0083333,20.17596899,163.5,45.98097433,163.5,141.25,23.94133455,2
Adjacent Spring,1141,105,179.0138889,24.54452383,153.6666667,37.81240243,174,127.5185185,18.57989828,3
Adjacent Summer,1232,120,225.84,32.97510916,183,38.23283929,216.6666667,148.171875,18.0559501,4
Adjacent Winter,972,85,166.225,31.3694258,127.75,24.87091675,151.25,104,11.08031757,4
Adjacent Coleoptera,1140,133,232.0535714,30.09687972,197.5,38.03123716,231.1666667,161.9960938,17.34608611,4
Adjacent Hemiptera,1326,56,93.5,19.52562419,78.5,14.45250843,90.5,66.08984375,6.995236547,4
Adjacent Formicidae,879,13,19,5.744562647,19,3.872983346,21.66666667,15.78515625,2.189448769,4
V. sieberiana Overall,6042,206,330.6675532,30.86571466,299.75,66.24811318,346.5833333,248.5859375,35.54641054,4
V. sieberiana MP,3833,148,253.125,28.83669842,206,74.45804188,206,177,44.10782244,2
V. sieberiana KZN,2209,124,216.3461538,27.72026141,173,56.21832441,173,148.5,31.5,2
V. sieberiana Spring,2311,111,150.0625,12.76041667,148.5,37.81203512,148.5,129.75,19.3051159,2
V. sieberiana Summer,1737,128,200.7272727,22.30404837,188,38.67169508,217,155.4101563,19.50359879,4
V. sieberiana Winter,1994,75,135.75,23.76520895,111,27.66465856,126.3333333,91.59259259,13.49968246,3
V. sieberiana Coleoptera,2438,137,223.0113636,25.50152261,202.25,44.91032732,234.75,166.6445313,23.72191204,4
V. sieberiana Hemiptera,3116,51,80.4,15.46984163,72,16.59066002,82.66666667,60.5234375,9.440988464,4
V. sieberiana Formicidae,488,18,27.375,8.154992719,25.5,4.860555524,29.16666667,21.41796875,2.724510667,4